WeekGroup,PRsClosedOnSunday
1,4
2,6
3,8
4,9
5,8
6,13
7,11
8,8
9,12
10,14
11,11
12,16
13,26
14,34
15,26
16,14
17,17
18,12
19,7
20,23
21,25
22,16
23,24
24,37
25,18
26,19
27,24
28,10
29,11
