WeekGroup,PRsClosedOnWednesday
1,1
2,47
3,63
4,60
5,49
6,81
7,84
8,96
9,76
10,76
11,70
12,58
13,94
14,87
15,114
16,97
17,96
18,66
19,4
20,103
21,101
22,105
23,113
24,131
25,95
26,138
27,116
28,117
29,84
