YearMonth,PRsMerged
NULL,2206
2023-09,173
2023-10,267
2023-11,312
2023-12,264
2024-01,412
2024-02,363
2024-03,383
2024-04,422
2024-05,422
2024-06,348
2024-07,487
2024-08,510
2024-09,523
2024-10,543
2024-11,496
2024-12,381
2025-01,544
2025-02,519
2025-03,562
2025-04,608
2025-05,685
2025-06,580
2025-07,653
2025-08,639
2025-09,604
2025-10,38
