YearMonth,StillOpenPRsByFirstTimeContributors
2023-10,7
2023-11,4
2023-12,4
2024-01,2
2024-02,1
2024-03,8
2024-04,7
2024-05,2
2024-06,6
2024-07,5
2024-08,10
2024-09,5
2024-10,8
2024-11,6
2024-12,4
2025-01,5
2025-02,9
2025-03,8
2025-04,7
2025-05,4
2025-06,9
2025-07,13
2025-08,13
2025-09,24
2025-10,1
