WeekGroup,PRsClosedOnSaturday
1,1
2,8
3,13
4,11
5,21
6,29
7,14
8,19
9,23
10,14
11,23
12,20
13,49
14,33
15,31
16,15
17,16
18,20
19,4
20,45
21,43
22,41
23,30
24,40
25,39
26,38
27,42
28,32
29,14
