WeekGroup,PRsClosedOnThursday
1,4
2,47
3,58
4,61
5,56
6,69
7,79
8,71
9,68
10,87
11,77
12,71
13,80
14,97
15,78
16,95
17,96
18,63
19,8
20,101
21,106
22,110
23,118
24,121
25,109
26,113
27,118
28,134
29,67
