WeekGroup,PRsOpenedOnTuesday
1,6
2,57
3,52
4,71
5,61
6,76
7,98
8,68
9,95
10,95
11,74
12,77
13,103
14,77
15,94
16,97
17,146
18,90
19,5
20,117
21,136
22,108
23,97
24,111
25,88
26,129
27,129
28,122
29,85
