WeekGroup,PRsOpenedOnSunday
1,9
2,20
3,22
4,13
5,19
6,39
7,22
8,12
9,23
10,34
11,28
12,28
13,27
14,31
15,30
16,24
17,29
18,15
19,3
20,52
21,30
22,30
23,39
24,46
25,28
26,49
27,35
28,41
29,24
