WeekGroup,PRsOpenedOnMonday
1,4
2,76
3,58
4,63
5,59
6,64
7,66
8,60
9,70
10,72
11,67
12,72
13,102
14,77
15,87
16,103
17,84
18,73
19,9
20,95
21,83
22,103
23,113
24,118
25,96
26,107
27,95
28,81
29,92
