WeekGroup,PRsOpenedOnSaturday
1,9
2,15
3,34
4,17
5,29
6,33
7,19
8,32
9,31
10,45
11,25
12,34
13,56
14,38
15,34
16,21
17,34
18,25
19,11
20,46
21,43
22,55
23,44
24,42
25,52
26,44
27,42
28,32
29,29
