WeekGroup,PRsClosedOnTuesday
1,1
2,52
3,57
4,71
5,46
6,82
7,78
8,79
9,86
10,82
11,72
12,66
13,119
14,84
15,104
16,92
17,116
18,92
19,3
20,115
21,112
22,110
23,103
24,106
25,107
26,147
27,110
28,134
29,99
