YearMonth,APICommentsCount
2023-08,33
2023-09,4384
2023-10,4721
2023-11,4104
2023-12,3806
2024-01,6078
2024-02,4366
2024-03,5953
2024-04,6054
2024-05,5733
2024-06,5073
2024-07,6916
2024-08,6273
2024-09,6181
2024-10,7231
2024-11,6010
2024-12,4539
2025-01,5624
2025-02,6676
2025-03,7252
2025-04,7370
2025-05,6413
2025-06,6436
2025-07,6612
2025-08,6308
2025-09,4967
2025-10,115
