YearMonth,PRsCreated
2023-08,1
2023-09,336
2023-10,396
2023-11,392
2023-12,361
2024-01,524
2024-02,417
2024-03,458
2024-04,548
2024-05,498
2024-06,447
2024-07,564
2024-08,601
2024-09,586
2024-10,638
2024-11,588
2024-12,418
2025-01,601
2025-02,612
2025-03,674
2025-04,695
2025-05,731
2025-06,650
2025-07,754
2025-08,741
2025-09,675
2025-10,38
