WeekGroup,PRsOpenedOnWednesday
1,8
2,68
3,58
4,85
5,50
6,89
7,72
8,98
9,81
10,94
11,61
12,67
13,92
14,89
15,108
16,103
17,85
18,62
19,2
20,99
21,96
22,122
23,114
24,119
25,99
26,142
27,109
28,124
29,96
