YearMonth,PRsClosed
2023-09,20
2023-10,28
2023-11,34
2023-12,41
2024-01,55
2024-02,33
2024-03,57
2024-04,54
2024-05,41
2024-06,35
2024-07,64
2024-08,47
2024-09,54
2024-10,54
2024-11,46
2024-12,26
2025-01,53
2025-02,62
2025-03,58
2025-04,44
2025-05,60
2025-06,45
2025-07,39
2025-08,56
2025-09,45
