YearMonth,PRsCreatedByMembers
2023-09,309
2023-10,351
2023-11,363
2023-12,308
2024-01,442
2024-02,376
2024-03,399
2024-04,472
2024-05,440
2024-06,396
2024-07,514
2024-08,554
2024-09,540
2024-10,597
2024-11,536
2024-12,376
2025-01,560
2025-02,555
2025-03,596
2025-04,639
2025-05,668
2025-06,569
2025-07,646
2025-08,632
2025-09,549
2025-10,34
