WeekGroup,PRsClosedOnMonday
1,40
2,44
3,57
4,61
5,62
6,59
7,59
8,62
9,83
10,74
11,76
12,90
13,69
14,95
15,91
16,74
17,75
18,3
19,97
20,81
21,101
22,89
23,111
24,82
25,114
26,87
27,86
28,84
