YearMonth,PRsCreatedByFirstTimeContributors
2023-10,8
2023-11,5
2023-12,4
2024-01,3
2024-02,1
2024-03,9
2024-04,11
2024-05,3
2024-06,7
2024-07,6
2024-08,11
2024-09,7
2024-10,9
2024-11,7
2024-12,4
2025-01,5
2025-02,10
2025-03,13
2025-04,7
2025-05,5
2025-06,11
2025-07,14
2025-08,18
2025-09,28
2025-10,1
