YearMonth,StillOpenPRs
2023-09,25
2023-10,24
2023-11,26
2023-12,28
2024-01,31
2024-02,17
2024-03,27
2024-04,30
2024-05,40
2024-06,37
2024-07,30
2024-08,41
2024-09,29
2024-10,47
2024-11,32
2024-12,30
2025-01,33
2025-02,43
2025-03,57
2025-04,36
2025-05,44
2025-06,46
2025-07,58
2025-08,74
2025-09,149
2025-10,21
