WeekGroup,PRsOpenedOnThursday
1,19
2,72
3,69
4,53
5,49
6,71
7,83
8,75
9,93
10,76
11,99
12,76
13,100
14,94
15,91
16,105
17,102
18,59
19,11
20,96
21,99
22,109
23,108
24,140
25,117
26,125
27,121
28,133
29,56
