WeekGroup,PRsOpenedOnFriday
1,9
2,65
3,59
4,62
5,66
6,74
7,67
8,79
9,71
10,71
11,74
12,74
13,117
14,84
15,117
16,99
17,88
18,77
19,8
20,99
21,93
22,115
23,111
24,117
25,95
26,94
27,108
28,125
29,47
