WeekGroup,PRsClosedOnFriday
1,2
2,49
3,36
4,50
5,38
6,65
7,71
8,71
9,91
10,68
11,76
12,75
13,110
14,71
15,106
16,102
17,108
18,69
19,13
20,99
21,101
22,104
23,113
24,149
25,90
26,97
27,98
28,110
29,51
