YearMonth,NonCrossRepoPRs
2023-11,7
2023-12,18
2024-01,27
2024-02,20
2024-03,32
2024-04,33
2024-05,51
2024-06,51
2024-07,45
2024-08,49
2024-09,27
2024-10,54
2024-11,98
2024-12,46
2025-01,78
2025-02,67
2025-03,77
2025-04,119
2025-05,77
2025-06,61
2025-07,95
2025-08,103
2025-09,92
2025-10,1
